Id,COUNTA of ActivityMinute,SUM of Steps,COUNTA of SleepDay,SUM of TotalSleepRecords,SUM of TotalTimeInBed,SUM of TotalMinutesAsleep,no_asleep_bed_time,weekend,weekday,AVERAGE of BMI,TRUE_manual,False_manual,AVERAGE of WeightPounds
1503960366,43020,374546,25,27,9580,9007,19,4.00,21.00,22.65,2.00,0,115.9631465
1624580081,44160,177750,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0
1644430081,42480,217927,4,4,1384,1176,8,1.00,3.00,0.00,0.00,0,0
1844505072,43860,79942,3,3,2883,1956,317,1.00,2.00,0.00,0.00,0,0
1927972279,44160,28400,5,8,2189,2085,25,0.00,5.00,47.54,0.00,1,294.31712
2022484408,44100,351047,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0
2026352035,44160,172068,28,28,15054,14173,43,4.00,24.00,0.00,0.00,0,0
2320127002,44100,146035,1,1,69,61,8,0.00,1.00,0.00,0.00,0,0
2347167796,24840,171337,15,15,7370,6702,64,2.00,13.00,0.00,0.00,0,0
2873212765,44160,234130,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0
3372868164,28320,137057,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0
3977333714,41760,328244,28,32,12912,8222,195,4.00,24.00,0.00,0.00,0,0
4020332650,43920,68399,8,8,3038,2795,40,1.00,7.00,0.00,0.00,0,0
4057192912,5280,15305,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0
4319703577,43440,209464,26,27,13051,12393,22,3.00,23.00,27.41,2.00,0,159.5044517
4388161847,44100,319765,24,31,10229,9675,27,4.00,20.00,0.00,0.00,0,0
4445114986,43980,148345,28,39,11671,10785,28,3.00,25.00,0.00,0.00,0,0
4558609924,44160,237909,5,5,700,638,11,2.00,3.00,27.21,5.00,0,153.529918
4702921684,43860,265559,28,30,12375,11792,14,2.00,26.00,0.00,0.00,0,0
5553957443,43800,266906,31,38,15682,14368,23,4.00,27.00,0.00,0.00,0,0
5577150313,42480,248519,26,27,11976,11232,19,3.00,23.00,28.00,0.00,1,199.9592651
6117666160,39600,185673,18,22,9183,8618,18,4.00,14.00,0.00,0.00,0,0
6290855005,39900,163678,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0
6775888955,36600,65371,3,3,1107,1049,25,0.00,3.00,0.00,0.00,0,0
6962181067,43920,303621,31,34,14450,13888,21,4.00,27.00,24.03,30.00,0,135.7018721
7007744171,36060,294409,2,2,143,137,3,1.00,1.00,0.00,0.00,0,0
7086361926,43980,287503,24,24,11194,10875,11,3.00,21.00,0.00,0.00,0,0
8053475328,44100,457463,3,3,905,891,7,0.00,3.00,0.00,0.00,0,0
8253242879,25860,122838,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0
8378563200,43980,269223,32,36,15466,14187,18,4.00,28.00,0.00,0.00,0,0
8583815059,43080,176200,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0
8792009665,40320,53750,15,15,6807,6535,35,1.00,14.00,0.00,0.00,0,0
8877689391,44040,495166,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0
